,title,text,label
1,"Pampanga IPs benefit in upland vegetable farming
https://www.manilatimes.net/2021/07/21/news/regions/pampanga-ips-benefit-in-upland-vegetable-farming/1807775
","Pampanga IPs benefit in upland vegetable farming
https://www.manilatimes.net/2021/07/21/news/regions/pampanga-ips-benefit-in-upland-vegetable-farming/1807775

At least 1,200 indigenous peoples (IPs) from the towns of Floridablanca and Porac, and the city of Mabalacat will benefit in the upland vegetable farming program initiated by the provincial government of Pampanga and Department of Labor and Employment (DoLE).

This initiative, which is part of the Tulong Panghanapbuhay sa Ating Disadvantaged/Displaced Workers (Tupad) program, will ensure food security while providing livelihood opportunities for IPs.

Under the program, members of the Aeta communities will plant vegetables such as tomatoes, squash, and eggplant for their own consumption or for selling.

In a statement, Gov. Dennis Pineda said the concept of cultivating the land for vegetable farming for the Aetas is a replication of the Season-Long Training on Vegetable Production project for IPs in Floridablanca in 2017.

""This will be modeled after the Department of Agriculture's Plant, Plant, Plant program to aid them in their daily needs as well as help them generate income through their harvest,"" he said.

Labor Secretary Silvestre Bello 3rd lauded the provincial government for its effort to provide emergency livelihood assistance to the marginalized sectors of the society, including Aetas and other IPs.

""We need to take care of them [IPs]. Let us look at their needs, let's provide emergency livelihood, let's take care of their health. With the help and support of the province of Pampanga and Gov. Pineda, we are able to do it,"" Bello said.

Tupad is a community-based package of assistance providing emergency employment for displaced workers, underemployed and seasonal workers, for a minimum period of 10 days but not to exceed a maximum of 30 days, depending on the nature of work to be performed.",REAL
2,"Bong Go supports govt efforts to address insurgency
https://www.manilatimes.net/2021/07/21/news/regions/bong-go-supports-govt-efforts-to-address-insurgency/1807782","Bong Go supports govt efforts to address insurgency
https://www.manilatimes.net/2021/07/21/news/regions/bong-go-supports-govt-efforts-to-address-insurgency/1807782

IN line with the Duterte administration's commitment to address insurgencies and other local conflicts in various areas, the team of Sen. Christopher Lawrence ""Bong"" Go distributed assistance to hundreds of families under the Retooled Community Support Program in the far-flung areas of Basey, Samar on July 14 as part of the senator's efforts to support conflict-affected local communities.

Go's staff conducted the relief operation at Sitio Borabod, Barangay Mabini where they assisted 307 families.

Go's outreach team distributed meals, masks, face shields and vitamins to the beneficiaries. In addition, some recipients received new pairs of shoes.

In his video message, Go urged those who were on the priority list to get vaccinated against Covid-19 for the country to achieve herd immunity.

""Alam ko pong mahirap ang panahon ngayon. Nasa krisis po tayo dulot po ng Covid-19 pandemic. Mga kababayan ko, ang bakuna po ang pag-asa natin dito. Magtiwala ho kayo sa bakuna. Ang bakuna po ang tanging susi para unti-unti na tayong makabalik sa ating normal na pamumuhay (I know the situation now is difficult. We are undergoing a crisis due to the Covid-19 pandemic. My countrymen, the vaccine is our hope in this situation. Trust the vaccine. This is the only key for us to slowly return to our normal lives),"" said Go.

""Ang ating target ngayon ay makamtan natin ang population protection at herd immunity po. Sana po bago mag-Pasko para naman po sumaya ang ating Pasko (Our current target is to achieve population protection and herd immunity. Hopefully, we can achieve this before Christmas in order for it to be merry),"" he added.

Through its representatives for the Assistance to Individuals in Crisis Situation program, the Department of Social Welfare and Development (DSWD) gave financial assistance to each beneficiary.
The Department of Trade and Industry assessed eligible recipients that would benefit from its ""Pangkabuhayan sa Pagbangon"" at Ginhawa program.

Likewise, the Technical Education and Skills Development Authority offered scholarship grants to qualified beneficiaries. The Office of Civil Defense also distributed health kits.
As an advocate for quality health care, the senator advised the beneficiaries, particularly the poor and indigent patients, to visit the Malasakit Center at the Samar Provincial Hospital in Catbalogan City for medical needs and hospital billing assistance.

Under the Malasakit Centers Act, all hospitals administered and managed by the Department of Health (DoH) and the Philippine General Hospital were mandated to have its own Malasakit Center that shall provide convenient access to medical assistance programs offered by concerned agencies such as DoH, DSWD, Philippine Health Insurance Corp. and Philippine Charity Sweepstakes Office.

To boost infrastructure development needed to help address root causes of insurgency in the provinces, Go, as vice chair of the Senate Committee on Finance, pushed for the funding of numerous projects in the area such as the rehabilitation and improvement of the farm-to-market road from Barangay New San Agustin to Barangay Cogon as well as the construction and concreting of the access road from Literon-Antol in Calbiga to Canlobo-Layo-Magdawat-Pelaon of Pinabacdao and to Mabini in Basey, connecting Lulugayan Falls and Kanyawa Cave to Macatingol Cave and Sohoton Cave.

He also supported initiatives to improve roads and other public structures throughout the province such as the construction of a multipurpose hall in Catbalogan City and Tarangnan, concreting of roads in Daram, construction of farm-to-market roads in Pinabacdao, construction of a shoreline-protection structure in Tagapul-an and the construction of a public park in Tarangnan, among others.
Several local government officials were commended by Go for their service to their constituents during this time of crisis. Among the officials were Rep. Sharee Ann Tan, Gov. Reynolds Michael Tan, Vice Gov. Angelica Gomez, Mayor Luz Ponferrada and Vice Mayor Honesto Zeta, among others.

On June 12, Go sent his outreach team to deliver assistance to 10 displaced families, who were affected by a recent fire incident in Basey.",REAL
3,"Baguio eyes district, satellite jab sites
https://www.manilatimes.net/2021/07/21/news/regions/baguio-eyes-district-satellite-jab-sites/1807770","Baguio eyes district, satellite jab sites
https://www.manilatimes.net/2021/07/21/news/regions/baguio-eyes-district-satellite-jab-sites/1807770

Crowded lines in the four mega vaccine sites in Baguio City are expected to ease up once district and satellite vaccination areas open. This is in addition to existing vaccination sites in the Summer Capital. The residents of Barangay Atok Trail, Loakan, Irisan, Atab, Mines View and Pacdal would benefit in the said vaccination program because these villages are far from the mega sites. For Atok trail and Loakan, the Philippine Export Zone Authority offered their site; for Atab, the Divine Mercy Church area shall be sanitized to serve the purpose, and permission from City Schools Division Superintendent is needed for Irisan's use of Elpidio Quirino Elementary School. Satellite vaccination venues such as the Baguio City Police Office and the City Disaster Risk Reduction Management Office were utilized on June 25, June 29 and 30 with the Rillera Building at the City Public Market marked for the same purpose. The Rillera Building was also used as a registration site for vaccination. The University of the Cordilleras High School shall be utilized for the City Camp area, with the Loakan airport as drive-through vaccination site for drivers, and the Baguio City National High School for teachers. The Baguio Country Club site would also serve workers, pony boys and small store owners within the vicinity.
",REAL
4,"Extreme weather, disasters to continue
https://www.manilatimes.net/2021/07/21/news/world/extreme-weather-disasters-to-continue/1807745","Extreme weather, disasters to continue
https://www.manilatimes.net/2021/07/21/news/world/extreme-weather-disasters-to-continue/1807745

GENEVA: Extreme weather events and natural disasters will continue to increase, an expert and the head of the World Meteorological Organization (WMO) warned on Monday (Tuesday in Manila), saying climate change was the root cause for the torrential rainstorms and deadly floods ravaging across Western Europe this summer.

Speaking exclusively to Xinhua, Petteri Taalas, secretary general of the Geneva-based WMO, said: ""We have always had extreme weather events, but because of climate change, we have started seeing them more often and they are more intense.""

""Without climate change we wouldn't have observed such high temperatures in western parts of Canada and the US, so that's a clear indication of climate change,"" he said.
At the same time, devastating flash floods due to heavy rainfalls have swept through several western European countries in the past few days, killing more than 100 and causing huge damages.

In the report ""Summer of extremes: floods, heat and fire,"" the WMO said on Friday that some parts of Western Europe received up to two months worth of rainfall in two days (July 14 and 15) on soils that were already near saturation.

""The top one meter of soil was completely saturated or well above field capacity after the intense rain in the most affected regions of Belgium, the Netherlands, Luxembourg and Germany,"" it said.

Asked about whether he expected more natural disasters over the next couple of years, Taalas said: ""Climate change will anyhow continue for the coming decades. If we are successful with climate mitigation, we could stop this negative trend in the 2060s.""

""Until then we will see a growing amount of natural disasters and a growing amount of this kind of weather extremes and also more human losses and more economic losses than before,"" he warned.

""That means that we have to also adapt to climate change, the most important thing is to mitigate climate change, to stop using fossil fuels and also pay attention to our diet.""

Countries around the world have pledged to reach a global peak of greenhouse gas emissions as soon as possible and to achieve a climate neutral world by mid-century.

The Paris Agreement, which was adopted by 196 parties in Paris in 2015, sets a target of holding the global average rise in temperature below 2 degrees Celsius above pre-industrial levels and preferably below 1.5 C.

Taalas also stressed that no region in the world was safe from the negative impacts from extreme weather events and natural disasters.

""One could say that it's a global thing. Last year, we had severe drought in the same areas where we now have these problems in North America and also in South America in the Amazon region with also record-breaking drought.""",REAL
5,"DoTr, DPWH inaugurate Davao City bike lane network
https://www.manilatimes.net/2021/07/21/news/regions/dotr-dpwh-inaugurate-davao-city-bike-lane-network/1807778","DoTr, DPWH inaugurate Davao City bike lane network
https://www.manilatimes.net/2021/07/21/news/regions/dotr-dpwh-inaugurate-davao-city-bike-lane-network/1807778

Department of Transportation (DoTr) Secretary Arthur Tugade and Department of Public Works and Highways (DPWH) Secretary Mark Villar led the inauguration of the 54-kilometer (km) Metro Davao Bike Lane Network.

The Metro Davao bike lane project had a budget of P145 million and stretches across 14 road sections which aims to connect key activity areas by making it accessible and by providing a safe transport infrastructure for bikers.

Some features of the lanes include white and green pavement markings, signages, bollards, bike symbols, concrete delineators, and sheds for bike racks.

The bike lanes are situated in the roads of Quimpo Boulevard, Sandawa, and Davao-Cotabato Road. There are also bike lanes in Roxas Avenue, Quezon Avenue, Quirino Avenue, Emilio Jacinto Extension, and in the streets of Dr. A. Gahol, Mabini, F. Torres, Loyola, Porras, Iñigo, and Nicasio.

Through this project,Tugade said, ""Bikers don't have to ply the roads in fear or suspicions and regrets na baka kayo ay maaksidente (don't have to ply the roads in fear or suspicions and regrets that you might get into an accident).""

Villar on the other hand said he hopes more commuters would opt to use bicycles as mode of transportation.

""We are optimistic the project will not only provide safety and convenience for its users, but also encourage the use of bicycles as a healthier and environment-friendly alternative,"" said Villar.

The DoTr and DPWH launched the Metro Cebu bike lane on July 16, and is set to inaugurate the 313-km Metro Manila bike lane sometime next week.",REAL
6,"DPWH to finish 31 projects in Region 8 this year
https://www.manilatimes.net/2021/07/20/news/regions/dpwh-to-finish-31-projects-in-region-8-this-year/1807669","DPWH to finish 31 projects in Region 8 this year
https://www.manilatimes.net/2021/07/20/news/regions/dpwh-to-finish-31-projects-in-region-8-this-year/1807669

THE Department of Public Works and Highways (DPWH) in Region 8 aims to finish at least 31 widening projects of national bridges in Eastern Visayas within the year.

According to DPWH Secretary Mark Villar, a total of P1.1 billion from the 2021 General Appropriations Act (GAA) was allocated for the widening projects of bridges in Leyte, Samar and Biliran.

A total of 17 bridges in Leyte province will benefit from the project, seven in Southern Leyte, three in Samar province, two in Northern Samar and two in Biliran.

In a statement, DPWH said the bridge-widening projects were initiated to improve mobility in Easter Visayas.

Moreover, according to DPWH Secretary Villar, ""Other than constructing additional lanes, retrofitting activities are also performed on bridges in accordance with the latest department design standards, guidelines, criteria and specifications.""
""Through this undertaking, our structures will be more resilient in the event of strong earthquakes,"" he added.In total, DPWH Region 8 has received from the 2021 GAA a P35.59-billion allocation, which will be used to maintain over 900 bridges and 2,560 kilometers of national road in the region.",REAL
7,"91  persons close contacts of Delta cases found so far
https://www.manilatimes.net/2021/07/20/news/91-individuals-traced-as-closecontacts-of-delta-variant-patients/1807730","91  persons close contacts of Delta cases found so far
https://www.manilatimes.net/2021/07/20/news/91-individuals-traced-as-closecontacts-of-delta-variant-patients/1807730

THE Department of Health (DoH) on Tuesday said about 91 individuals were traced as close contacts of the 16 recent Delta variant cases.

""Sa NCR [National Capital Region (Metro Manila)] ang nai-submit sa amin ay walo. Pero alam natin kahapon that Mayor Isko (Mayor Francisco Domagoso) has mentioned that they were able to trace about 36 individuals. So, inaantay pa rin natin 'yung kanilang submission for the complete report na itong sinabi nila (So, in NCR they submitted to us eight cases. But we know that Mayor Isko said on Tuesday that they were able to trace about 36 individuals. So, we are waiting for the submission of the complete report),"" DoH Undersecretary Maria Rosario Vergeire said in a media briefing.

For Region 6 (Western Visayas), they were able to trace 10 individuals; 27 individuals in Region 10 (Northern Mindanao); and 46 individuals who are returning overseas Filipino workers (OFWs), Vergeire added.

""So, hindi pa po tapos ang back-tracing natin, ipinagpapatuloy pa rin natin para makita natin lahat 'yung lahat ng taong nakasalamuha nitong mga individuals na 'to. We will be giving information in the coming days again regarding updates on contact-tracing (we are not done yet with the back-tracing, and we are still doing it to know how many of them came in contact with these individuals),"" she said.

According to Vergeire, there are 35 Delta cases detected in the country and 16 of them are recent ones and 11 are local cases and five are returning OFWs.

She noted that there are still eight active cases of the Delta variant.

Of the eight active cases, one is in Manila, four in Cagayan de Oro, one in Misamis Oriental and two are returning OFWs.

""Nung nag-retest po tayo among these local cases and returning overseas Filipinos, we found na meron pa rin pong positive sa kanila (When we retested the local cases and returning overseas Filipino workers, we found out that they have tested positive again),"" Vergeire said.

""Lahat po sila ay walang sintomas. Sila po ay mino-monitor sa ngayon at kailangan po makakumpleto ng labing-apat na araw uli na isolation because they have positive results (All of them have no symptoms. They are now being monitored and they need to complete the 14-day isolation because they have positive results),"" she added.
",REAL
8,"Benitez to run for mayor in Bacolod
https://www.manilatimes.net/2021/07/20/news/regions/benitez-to-run-for-mayor-in-bacolod/1807657","Benitez to run for mayor in Bacolod
https://www.manilatimes.net/2021/07/20/news/regions/benitez-to-run-for-mayor-in-bacolod/1807657

BACOLOD CITY: Former representative Alfredo Abelardo Benitez formally announced on Monday that he is running for mayor of Bacolod City in the 2022 elections.

Benitez, currently the provincial consultant for trade and investment promotions, ended months of speculation after he applied for the transfer of his voter's registration from Victorias City to Bacolod City.

Benitez will go up against incumbent Mayor Evelio Leonardia, who is seeking his third and last term.

""I have seen enough. I have heard enough. The clamor of the people of Bacolod City for change is undeniable. I am officially declaring that I will run for mayor of Bacolod City in 2022,"" Benitez declared during Monday's press conference at Manokan Country.

  
Benitez was undefeated in his three consecutive terms as representative of Negros Occidental's third district and was considered as one of the richest members of Congress during his term.

Benitez clarified that he has nothing personal against Leonardia.
""It is not that I want to be mayor to be popular. This is about the clamor of the people,"" he pointed out.

""This is like a situation where you see a person drowning in corruption. I cannot turn my back because I know I can save that person from drowning,"" he added.

Benitez also bared that his focus was to bring ""change and better governance, save the city from corruption and put the city to greater heights because Bacolod City has been left behind, compared to its neighboring highly urbanized cities.""

""We should give Bacolod voters a chance to freely make their choice for their future,"" Benitez added.

When asked about his possible running mates, Benitez said, ""For now, I have decided for myself, and after a couple of weeks, I will reveal my lineup.""

The former representative also said he attended the hearing on the opposition filed against his transfer of voting registration.

Benitez said they presented enough evidence that he was a resident of Bacolod City.

""After 2019, I did not run for any position. I have been a provincial consultant with an office in Bacolod City. I have started, then, my journey in Bacolod City,"" he added.

Leonardia has not issued a reaction to the announcement of Benitez as of press time.",REAL
9,"PH receives 3M doses of J&J vaccine from US
https://www.manilatimes.net/2021/07/20/news/national/ph-receives-3m-doses-of-jj-vaccine-from-us/1807692
","PH receives 3M doses of J&J vaccine from US
https://www.manilatimes.net/2021/07/20/news/national/ph-receives-3m-doses-of-jj-vaccine-from-us/1807692


THE United States has donated over 3 million doses of the Johnson & Johnson vaccine to the Philippines as part of its worldwide effort to help end the coronavirus pandemic.

US Embassy in Manila acting Press Attaché Jonathan Rose said in a statement on Monday that on July 16 and 17, the United States delivered 3,240,850 doses of the single-dose vaccine to the Philippines.

Rose said that to date, the US' Covid-19 assistance to the Philippines has totaled over P1.38 billion or about $27.5 million.

""This is the first time the Philippines has received the Johnson & Johnson vaccine, a safe, trusted and easy to store shot widely used in the US,"" Rose said.

The shipment was delivered through the Covid-19 Vaccines Global Access (Covax) Facility, a global initiative for equitable access to vaccines.
US Embassy in the Philippines Chargé d'Affaires John Law and acting USAid Mission Director Sean Callahan joined Foreign Affairs Secretary Teodoro Locsin Jr. and Health Secretary Francisco Duque 3rd in welcoming the arrival of the Johnson & Johnson doses.

Vaccine czar Secretary Carlito Galvez and National Economic and Development Authority Secretary Karl Chua also witnessed the turnover of the shipment at the Ninoy Aquino International Airport.

""This US donation of vaccines from our domestic supply to the Philippines, our oldest treaty ally in Asia, demonstrates our close and abiding relationship, and how important this partnership is to us,"" Law said.

The vaccine ""will protect millions of lives across the country,"" he said.
The Philippines previously received over 7 million vaccine doses through the Covax Advance Market Commitment, a global initiative run by Gavi, the Vaccine Alliance to support equitable access to Covid-19 vaccines.

The United States is the biggest monetary contributor to Gavi, having already donated more than $2 billion (over P100 billion) to the alliance.",REAL
10,"Palace to Congress: Pass anti-endo bills
https://www.manilatimes.net/2021/07/20/news/national/palace-to-congress-pass-anti-endo-bills/1807682
","Palace to Congress: Pass anti-endo bills
https://www.manilatimes.net/2021/07/20/news/national/palace-to-congress-pass-anti-endo-bills/1807682

Malacañang on Monday urged Congress to pass bills seeking to end the practice of labor contractualization.

""We continue to appeal to Congress to pass this anti-endo law as the term of the President ends,"" Palace spokesman Harry Roque Jr. said.

Roque said the bills pending before the Senate and the House of Representatives seeking to protect workers from labor contracting practices were certified as urgent by President Rodrigo Duterte.

""When I last talked to [Labor] Secretary [Silvestre] Bello [3rd] and this was I think last week in Cagayan, he reiterated the anti-endo bill continues to be an administration bill and it has also been certified as urgent by the President,"" Roque said.

""We leave it to Congress because unfortunately, no amount of certification can lead to an enactment of the law if the wisdom of Congress is otherwise,"" he added.

Last July 9, Presidential Legislative Liaison Office Undersecretary Jacinto Paras said the anti-endo bill is not a priority of the Duterte administration for now.

In 2016, when he was campaigning for the presidency, Duterte vowed to end ""endo"" (end of contract), a practice wherein employers release workers on their fifth month of service so they will not be eligible for benefits.

In 2019, Congress approved the bill scrapping ""endo"" known as the Security of Tenure bill. Duterte however vetoed it, saying while labor-only contracting should be prohibited, legitimate job-contracting should be allowed.",REAL
